received-date	fnsku	sku	product-name	quantity	fba-shipment-id	fulfillment-center-id
2020-08-26T04:00:00+04:00	X00175KISJ	VNTP1-L430XX-DEWH0A-AC1SC1	VANKYO Leisure 430 Mini projecteur compatible 1080P Full HD, 3800 lumens Home cinÃ©ma avec 5000 heures LED compatible avec la clÃ© TV, HDMI, SD, AV, VGA, USB, PS4, X-Box	1	FBA15D3617JP	CGN1
2020-08-26T04:00:00+04:00	X0017EMCKR	VNTP1-L430WX-GBWH2A-AC1SC1	VANKYO L430W WiFi Projector, 5800 Lumens Wireless Screen Mirroring Portable Projector, Full HD 1080P Supported, 236ââ Display Compatible with TV Stick, HDMI, VGA, USB, PS4, Laptop, iPhone, Android	30	FBA15D1PR3H1	BHX4
2020-08-26T04:00:00+04:00	X0014N3S4F	VNTP1-S5C0-FRBK6A-AC2SC2	SNAPTAIN S5C Drone avec CamÃ©ra 720P WiFi FPV TÃ©lÃ©commande WiFi APP, avec ContrÃ´le Gestuel,Vol de Trajectoire, 360Â°Flips pour Les DÃ©butants et Les Enfants	96	FBA15D3N1XDB	MRS1
2020-08-26T04:00:00+04:00	X00175KISJ	VNTP1-L430XX-DEWH0A-AC1SC1	VANKYO Leisure 430 Mini projecteur compatible 1080P Full HD, 3800 lumens Home cinÃ©ma avec 5000 heures LED compatible avec la clÃ© TV, HDMI, SD, AV, VGA, USB, PS4, X-Box	-2	FBA15D2SPKSJ	HAM2
2020-08-26T04:00:00+04:00	X00175KISJ	VNTP1-L430XX-DEWH0A-AC1SC1	VANKYO Leisure 430 Mini projecteur compatible 1080P Full HD, 3800 lumens Home cinÃ©ma avec 5000 heures LED compatible avec la clÃ© TV, HDMI, SD, AV, VGA, USB, PS4, X-Box	-1	FBA15D2SPKSJ	FRA1
2020-08-25T04:00:00+04:00	X0016419I9	VNTP1-L410XX-GBWH2A-AC1SC1	VANKYO L410 Native 720P Projector, 5500 Lumens portable Projector Support 1080P and 180'' Display w/ 50,000 Hrs Lamp Life, Compatible w/ Smartphone, TV Stick, PS4, HDMI, VGA, TF, AV and USB, XBOX	6	FBA15D1PVSXS	BHX4
2020-08-25T04:00:00+04:00	X0017PFKOB	VNTP1-X200-GBBK0A-AC1SC2	Wireless Earbuds, VANKYO X200 Bluetooth 5.0 Earbuds in-Ear True Wireless Headphones with Smart LED, 120H Playtime Deep Bass Stereo Sound, IPX8 Waterproof Wireless Earphones With Mic for Work Sport	-1	FBA15D3KLT5V	LCY2
2020-08-25T04:00:00+04:00	X0017CUZNF	VNTP1-S10FAX-GBBK3A-AC1SC1	VANKYO MatrixPad S10 10 inch Tablet, Android 9.0 Pie, 32GB ROM, 2GB RAM, 8MP Rear Camera, HD IPS Display, Quad-Core Processor, Wi-Fi, Bluetooth 4.2, GPS, FM, OTG, USB Type-C Charging, Slate Black	-1	FBA15D1G3TSW	CWL1
2020-08-25T04:00:00+04:00	X00168HYTX	VNTP1-S5C0-ESBK6A-AC1SC1	SNAPTAIN S5C Drone con CÃ¡mara, 720P HD, AviÃ³n WiFi FPV por Control Remoto, Control de Voz, Control de Gestos, Quadcopter HelicÃ³ptero con Headless Modo, Altitud Hold, G-Sensor, Modo Ãrbita, 3D Flip	12	FBA15D2YS3YK	BCN3
2020-08-25T04:00:00+04:00	X00175KIS9	VNTP1-V630-DEWH0A-AC1SC2	V630 Full HD vidÃ©o-projecteur Blanc.	-1	FBA15D0RRBF5	PAD1
