amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-sold-by-ab 
404-7194026-4280354	404-7194026-4280354	2020-08-23T23:06:05+00:00	2020-08-24T16:16:13+00:00	Shipped	Amazon	Amazon.es			Expedited	SNAPTAIN SP300 Drone para NiÃ±o, Infrarrojo Sensor RC Quadrocopter para NiÃ±os y Principiantes, Throw'N Go, MÃºltiples Controles Remotos, InducciÃ³n p	VNTP1-S300-ESBU0A-AC1SC2	B084YY3YD5	Shipped	2	EUR	79.98								Vinebre	Tarragona	43792	ES		false			false
407-4539376-9994703	407-4539376-9994703	2020-08-23T09:58:14+00:00	2020-08-24T15:29:08+00:00	Shipped	Amazon	Amazon.es			Expedited	SNAPTAIN SP300 Drone para NiÃ±o, Infrarrojo Sensor RC Quadrocopter para NiÃ±os y Principiantes, Throw'N Go, MÃºltiples Controles Remotos, InducciÃ³n p	VNTP1-S300-ESBU0A-AC1SC2	B084YY3YD5	Shipped	1	EUR	39.99								Piedrabuena	Ciudad Real	13100	ES		false			false
403-5264467-9329900	403-5264467-9329900	2020-08-24T00:59:51+00:00	2020-08-24T14:38:03+00:00	Shipped	Amazon	Amazon.es			Expedited	SNAPTAIN SP300 Drone para NiÃ±o, Infrarrojo Sensor RC Quadrocopter para NiÃ±os y Principiantes, Throw'N Go, MÃºltiples Controles Remotos, InducciÃ³n p	VNTP1-S300-ESBU0A-AC1SC2	B084YY3YD5	Shipped	1	EUR	39.99		1.99		2.99			1.99	Villaviciosa de Odon	Madrid	28670	ES		false			false
408-9806024-1517158	408-9806024-1517158	2020-08-23T15:19:28+00:00	2020-08-24T11:27:36+00:00	Shipped	Amazon	Amazon.es			Expedited	SNAPTAIN S5C Drone con CÃ¡mara, 720P HD, AviÃ³n WiFi FPV por Control Remoto, Control de Voz, Control de Gestos, Quadcopter HelicÃ³ptero con Headless M	VNTP1-S5C0-ESBK6A-AC1SC1	B084YVYVLL	Shipped	1	EUR	74.99		5.99		2.99				Pego	Alicante	03780	ES		false			false
405-6635017-6187526	405-6635017-6187526	2020-08-23T21:00:04+00:00	2020-08-24T10:31:09+00:00	Shipped	Amazon	Amazon.es			Expedited	SNAPTAIN S5C Drone con CÃ¡mara, 720P HD, AviÃ³n WiFi FPV por Control Remoto, Control de Voz, Control de Gestos, Quadcopter HelicÃ³ptero con Headless M	VNTP1-S5C0-ESBK6A-AC1SC1	B084YVYVLL	Shipped	1	EUR	74.99								Sotogrande	Cadiz	11310	ES		false			false
402-1083505-2892357	402-1083505-2892357	2020-08-22T20:33:26+00:00	2020-08-24T10:25:55+00:00	Shipped	Amazon	Amazon.es			Expedited	SNAPTAIN SP300 Drone para NiÃ±o, Infrarrojo Sensor RC Quadrocopter para NiÃ±os y Principiantes, Throw'N Go, MÃºltiples Controles Remotos, InducciÃ³n p	VNTP1-S300-ESBU0A-AC1SC2	B084YY3YD5	Shipped	1	EUR	39.99								Bescano	Girona	17162	ES		false			false
405-7976603-0973942	405-7976603-0973942	2020-08-23T19:01:51+00:00	2020-08-24T01:55:01+00:00	Shipped	Amazon	Amazon.es			Expedited	SNAPTAIN SP300 Drone para NiÃ±o, Infrarrojo Sensor RC Quadrocopter para NiÃ±os y Principiantes, Throw'N Go, MÃºltiples Controles Remotos, InducciÃ³n p	VNTP1-S300-ESBU0A-AC1SC2	B084YY3YD5	Shipped	1	EUR	39.99								VALDEMORO	MADRID	28341	ES		false			false
402-6455911-1461108	402-6455911-1461108	2020-08-23T10:19:15+00:00	2020-08-24T00:00:54+00:00	Shipped	Amazon	Amazon.es			Expedited	SNAPTAIN S5C Drone con CÃ¡mara, 720P HD, AviÃ³n WiFi FPV por Control Remoto, Control de Voz, Control de Gestos, Quadcopter HelicÃ³ptero con Headless M	VNTP1-S5C0-ESBK6A-AC1SC1	B084YVYVLL	Shipped	1	EUR	74.99								Valdegutur	La Rioja	26529	ES		false			false
S02-9224621-3337508	306-8791284-9229107-RS-4	2020-08-27T07:23:52+00:00	2020-08-27T08:44:30+00:00	Shipping	Amazon	Non-Amazon			Standard	HeimVision Babyphone mit Kamera, 5 Zoll LCD Baby Monitor, HD 720P Video, Zwei Wege Audio, Temperatur und akustischer Alarm, Nachtsicht, Schlaflied, 110 Â° Weitwinkel, bis zu 300m Reichweite	VNTP1-CSCH-H136-DEWH0A-AC1SC2	B07VHXWQ54	Unshipped	1										RotthalmÃ¼nster		94094	DE		false			false
S02-8022218-5046357	306-4384347-7786735-RS	2020-08-23T06:54:36+00:00	2020-08-24T14:49:19+00:00	Shipped	Amazon	Non-Amazon			Standard	HeimVision Babyphone mit Kamera, 5 Zoll LCD Baby Monitor, HD 720P Video, Zwei Wege Audio, Temperatur und akustischer Alarm, Nachtsicht, Schlaflied, 110 Â° Weitwinkel, bis zu 300m Reichweite	VNTP1-CSCH-H136-DEWH0A-AC1SC2	B07VHXWQ54	Unshipped	1										Binzen, Baden-WÃ¼rttemberg		79589	DE		false			false
