sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
GSW-3D0005-UNBK0A-T1Z1	X002L24C5F	B083J9YXQ1	HeimVision HMD2 Silicone Cover, Waterproof Protective Cover Case for HMD2 Outdoor Wireless Security Camera (Black)	New	7.99	No		Yes	70	62	0	8	70	0.01	0	0	0	0	0	0
GSW-4A0003-UNWH0A-T1Z1	X002JJBR6R	B089Q1GZPR	Baby Monitor Holder Flexible Baby Camera Mount Shelf A Safer Monitor Stand for Your Baby	New	25.99	No		Yes	99	99	0	0	99	0.1	0	0	0	0	0	0
GSW-CE28-UNBK0A-T1Z1	X002J2UJ31	B088WJR5Q9	HeimVision 30ft/10m Power Extension Cable DC 12V Power Adapter Extension Cord for HM241/ HM241A/ HM243/ HM245/ HM311 Security Camera, Router, Black	New	11.69	No		Yes	64	63	0	1	64	0.01	0	0	0	0	0	0
GSW-H203-USWH0A-T1Z1	X002KJ2DGJ	B07YXPW7JJ	HeimVision 1080P Security Camera, HM203 UG WiFi Home Indoor Camera with Smart Night Vision/2 Way Audio/Motion Detection, Wireless IP Dog Camera for Baby/Pet/Nanny Monitor, Cloud/MicroSD Support	New	30.99	No		Yes	78	73	0	5	78	0.08	0	0	0	0	0	0
GSW-HM132X-USWH0A-T3Z3	X002M7FB1X	B0894FBZ68	HeimVision Baby Monitor, HM132 Video Baby Monitor with Camera and Audio, 4.3" Split Screen Baby Camera with Night Vision, 2 Way Talk, VOX Mode, 8 Lullabies, Extra Lens and Holder Included	New	99.99	No		Yes	0	0	0	0	200	0.14	200	0	0	0	0	0
GSW-HMD2-USWH0A-T1Z1	X002LY6A35	B07T2Q7WJ5	HeimVision HMD2 Wireless Rechargeable Battery-Powered Security Camera, 1080P Video with 2-Way Audio, Night Vision, Waterproof Home Indoor/Outdoor WiFi Cameras with Cloud Service	New	79.99	No		Yes	0	0	0	0	0	0.04	0	0	0	0	0	0
GSW-SE01-USBK0A-T1Z1	X002KHJI9L	B07TMXZF5Q	Solar Panel Compatible with HeimVision HMD2 Rechargeable Battery Security Camera, Waterproof 3.2W/ 5.5V Solar Panel with 13ft/ 4m USB Cable, Support Continuously Supply Power for Security Camera	New	29.99	No		Yes	0	0	0	0	0	0.1	0	0	0	0	0	0
TEST-CABLE-0429-2	X002JL3NSF	B087TBPKYC	60ft/18m All-in-One BNC Video Power Cable, BNC Extension Wired Cord for CCTV Camera DVR Security System, Compatible with HM245 Wired Security Camera System (1 Pack, Black)	New	12.99	Yes	0	No	0	0	0	0	0		0	0	0	0	0	0
TEST-CABLE-12	X002JKUWWL	B0878TNMSH	100ft (30m) Ethernet Cable-High Speed & Waterproof Network Cord for POE Security Cameras	New	15.99	Yes	0	No	0	0	0	0	0		0	0	0	0	0	0
