sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
ERS-E31X-USBKOA-3WBS2	X002JHXGL3	B089NQJC44		Unknown					0	0	0	0	0		0	0	0	0	0	0
ERS-E31X-USBKOA-3WBS3	X002JJWYDR	B089NQJC44		Unknown					0	0	0	0	0		0	0	0	0	0	0
ERS-E31X-USBKOA-3WBS4	X002JKWGT3	B089R3K2X6	Kyvol Cybovac E31 Robot Vacuum, Sweeping & Mopping Robot Vacuum Cleaner with 2200Pa Suction, Smart Navigation, 150 mins Runtime, Works with Alexa, Self-Charging, Ideal for Pet Hair, Floor and Carpets	New	299.99	No		Yes	56	0	3	51	1106	0.96	1050	0	0	2	0	0
ERS-E31X-USBKOA-3WBS5	X002JMFEJF	B089R3K2X6	Kyvol Cybovac E31 Robot Vacuum, Sweeping & Mopping Robot Vacuum Cleaner with 2200Pa Suction, Smart Navigation, 150 mins Runtime, Works with Alexa, Self-Charging, Ideal for Pet Hair, Floor and Carpets	New	299.99	No		Yes	38	0	1	31	2888	0.96	2850	0	0	6	0	0
ERS-KYHD-CADG0A-3WBS1	X002KPHW8H	B08CDB1Z2B		Unknown					0	0	0	0	0		0	0	0	0	0	0
ERS-KYHD-CADG0A-3WBS2	X002KQ2853	B08CDB1Z2B		Unknown					0	0	0	0	0		0	0	0	0	0	0
ERS-KYHD-CAWH0A-3WBS1	X002KPOES3	B08CB1X32Y		Unknown					0	0	0	0	0		0	0	0	0	0	0
ERS-KYHD-CAWH0A-3WBS2	X002KQ25LP	B08CB1X32Y		Unknown					0	0	0	0	0		0	0	0	0	0	0
ERS-KYHD-USDG0A-3WBS1	X002KS8DMX	B08CGTBN6Z	KYVOL Cool Mist Humidifiers, Quiet Ultrasonic Humidifier, for Large Bedroom Babies	New	50.00	No		Yes	324	103	0	221	408	0.64	0	0	84	0	0	0
ERS-KYHD-USWH0A-3WBS1	X002KS7XQF	B08CGK75DM	KYVOL Cool Mist Humidifiers, 4.5L Humidifier, for Large Bedroom Babies	New	50.00	No		Yes	162	39	0	123	408	0.64	204	0	42	0	0	0
ERS-KYHD-USWH0A-3WBS2	X002KUZ9ZP	B08CGK75DM	KYVOL Cool Mist Humidifiers, 4.5L Humidifier, for Large Bedroom Babies	New	50.00	No		Yes	0	0	0	0	0	0.64	0	0	0	0	0	0
