sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
VAN92-H823HP-DEGN0A-N1S1	X00166VVR1	B08786XRS9		Unknown					1156	1141	5	10	2670		1008	504	2
VAN92-H823HP-DEGN0A-N1S2	X00185XHY5	B08786XRS9		Unknown					0	0	0	0	0		0	0	0
VAN92-H823HP-FRGN0A-N2S1	X0016TH8Z7	B089SX1N2T		Unknown					409	407	0	2	409		0	0	0
VAN92-H823HP-FRYE0A-N1S1	X00184PQRR	B08GH8WZ7X		Unknown					0	0	0	0	0		0	0	0
VAN92-H823HP-ITGN0A-N1S1	X00168KX7N	B087J8JCHW		Unknown					555	551	1	3	915		0	360	0
VAN92-H82P-DEBU1A-N1S1	X00139PTKB	B005X07WR6	SNAPTAIN Mini Drone H823H Plus con 3 baterÃ­as para 21 Minutos de Tiempo de Vuelo, Drone RC, Mini helicÃ³ptero quadrocopter con Soporte, Modo sin Cabeza, volteos 3D y 3 Modos de Velocidad para niÃ±os	New	29.99	No		Yes	274	270	2	2	274	1862.06	0	0	0
VAN92-H82P-DEBU1A-N1S2	X0013QNP7X	B005X07WR6	SNAPTAIN Mini Drone H823H Plus con 3 baterÃ­as para 21 Minutos de Tiempo de Vuelo, Drone RC, Mini helicÃ³ptero quadrocopter con Soporte, Modo sin Cabeza, volteos 3D y 3 Modos de Velocidad para niÃ±os	New	49.99	No		Yes	20	0	18	2	20	1862.06	0	0	0
VAN92-H82P-DERD1A-N3S1	X001705K91	B089QPRQWJ		Unknown					324	320	2	2	864		0	540	0
VAN92-H82P-DERD1A-N3S2	X00185WVQZ	B089QPRQWJ		Unknown					0	0	0	0	0		0	0	0
VAN92-H82P-ESRD1A-N1S1	X0015LZFT7	B084YPMG5Y	SNAPTAIN H823H Plus Mini Drone para NiÃ±os, Dron con 3 BaterÃ­as, 21 Minutos de Tiempo de Vuelo - Mini HelicÃ³ptero Quadcopter por Control Remoto, Modo sin Cabeza, Volteos 3D, 3 Modos de Velocidad	New	29.99	No		Yes	974	622	19	333	11138	2165.55	10164	0	0
