sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
J6-PTNU-YIG9	X0017XEIGJ	B088M7HRGK		Unknown					0	0	0	0	1		1	0	0
JTE07-A10XXX-ITWH0A-A1S1	X00180CVD3	B0899T7R9Q	SNAPTAIN A10 Mini Drone con Telecamera HD 720P Pieghevole FPV Controllo Vocale, Controllo Gesti, Volo Traiettoria, Volo Circolare, Rotazione ad Alta velocitÃ , 3D Filp, Sensore G, modalitÃ  Senza Testa	New	55.99	No		Yes	0	0	0	0	480	3254.63	0	480	0
JTE07-H823HP-ITGN0A-A1S1	X00180C3E5	B087J8JCHW	SNAPTAIN H823H Plus Mini Drone per Bambini, Funzione Lancia&Vola, Funzione Hovering, modalitÃ  Senza Testa, Rotazione a 360Â°, Decollo/Atterraggio a Un Tasto, velocitÃ  Regolabile	New	29.99	No		Yes	0	0	0	0	540	1718.51	0	540	0
JTE07-H82P-ITRD1A-A1S1	X00186IE5L	B07YFTJFM8	SNAPTAIN H823H Plus Mini Drone per Bambini, Funzione Lancia & Vola, Quadricottero Funzione Hovering, 3D Filp, velocitÃ  Regolabile, modalitÃ  Headless, Buon Regalo di Natale per Principianti	New	32.99	No		Yes	0	0	0	0	360	2105.25	360	0	0
JTE07-S500-ITBK0A-A1S1	X00186FFSZ	B081TVL9DR	SNAPTAIN SP500 Drone GPS con 1080P FHD Telecamera, Quadricottero RC con GPS Ritorno Home, Seguimi, Controllo dei Gesti, Volo Circolare, Auto Hover Trasmissione WiFi 5G	New	169.99	No		Yes	0	0	0	0	540	6902.07	540	0	0
JTE07-S5C0-ITBK6A-A1S1	X00180BAL7	B07Y65S63B	SNAPTAIN S5C Drone con Telecamera 720p HD FPV, Compatibile con VR Box, Quadricottero WiFi Un Pulsante Decollo e Atterraggio, G-sensore, 3D Flip, Funzione di Hovering, Adatto ai Principianti e Bambini	New	69.99	No		Yes	0	0	0	0	600	7182.78	600	0	0
JTE07-S650-ITBK6A-A1S1	X00181CGPP	B081RV7J2S	SNAPTAIN SP650 Drone 1080P FHD Telecamera per Principianti, Controllo Vocale, Controllo dei Gesti, Volo Circolare, Rotazione ad Alta velocitÃ , modalitÃ  Hovering, modalitÃ  Headless	New	89.99	No		Yes	0	0	0	0	300	8340.2	0	300	0
JTE07-SP350X-ITYE0A-A1S1	X00180C7HX	B087JRXFWJ	SNAPTAIN SP350 Mini Drone per Bambini e Principianti, Funzione Hovering, Rotazione del Cerchio, 3D Flip, Decollo/Atterraggio a Un Tasto, velocitÃ  Regolabile	New	29.99	No		Yes	0	0	0	0	624	1316.7	624	0	0
